this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
43	44	33	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Moore	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7489	2.9466	141.43	48	-99.57	80.04	48
44	41	25	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Lee Westwood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4052	2.9293	152.32	52	-135.53	95.80	52
45	43	72	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Marc Leishman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7649	2.9074	151.19	52	-69.24	125.82	53
46	45	186	USA	http://www.owgr.com/styles/img/flags/USA.png	Brendon Todd	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12425	2.8298	147.15	52	-33.05	131.77	53
47	46	56	USA	http://www.owgr.com/styles/img/flags/USA.png	Gary Woodland	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12577	2.7446	142.72	52	-61.49	91.07	55
48	47	44	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Streelman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8480	2.7080	140.82	52	-82.36	88.64	55
49	49	38	ITA	http://www.owgr.com/styles/img/flags/ITA.png	Francesco Molinari	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7655	2.6777	139.24	52	-96.19	91.31	58
50	50	108	AUS	http://www.owgr.com/styles/img/flags/AUS.png	John Senden	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5207	2.6319	136.86	52	-63.85	122.87	57
51	51	27	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Ernie Els	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=874	2.6102	135.73	52	-132.20	83.55	62
52	52	84	FIN	http://www.owgr.com/styles/img/flags/FIN.png	Mikko Ilonen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6929	2.5755	118.47	46	-51.43	95.80	46
53	53	89	USA	http://www.owgr.com/styles/img/flags/USA.png	Russell Henley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14578	2.4877	129.36	52	-70.27	125.19	57
54	54	113	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Stadler	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7602	2.4766	128.78	52	-61.45	116.19	56
55	63	76	IRL	http://www.owgr.com/styles/img/flags/IRL.png	Shane Lowry	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13900	2.4038	122.59	51	-60.41	93.35	51
56	56	64	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Angel Cabrera	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5717	2.3968	122.24	51	-54.29	81.78	51
57	55	42	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Jonas Blixt	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8182	2.3867	124.11	52	-86.56	76.12	58
58	58	133	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Every	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10185	2.3250	120.90	52	-56.39	110.74	57
59	57	53	USA	http://www.owgr.com/styles/img/flags/USA.png	Harris English	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14577	2.3233	120.81	52	-72.83	76.29	57
60	59	88	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Matt Jones	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8605	2.3147	120.37	52	-51.35	92.69	55
61	60	475	USA	http://www.owgr.com/styles/img/flags/USA.png	J.B. Holmes	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7959	2.2970	91.88	40	-21.12	99.83	33
62	61	34	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Louis Oosthuizen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7672	2.2390	107.47	48	-137.81	91.21	48
63	62	87	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Paul Casey	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7108	2.1526	111.93	52	-47.28	79.97	56
64	71	114	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Marc Warren	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7567	2.1082	109.63	52	-44.31	80.47	56
65	64	67	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Koumei Oda	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7940	2.0962	100.62	48	-52.45	54.64	48
66	66	52	AUT	http://www.owgr.com/styles/img/flags/AUT.png	Bernd Wiesberger	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9531	2.0685	107.56	52	-74.07	62.94	55
67	67	86	USA	http://www.owgr.com/styles/img/flags/USA.png	Brooks Koepka	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16243	2.0519	100.54	49	-40.65	76.50	49
68	65	101	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Pablo Larrazabal	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9133	2.0211	105.10	52	-62.26	87.85	56
69	68	173	USA	http://www.owgr.com/styles/img/flags/USA.png	Brian Harman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8825	2.0073	104.38	52	-40.73	93.01	65
70	69	198	USA	http://www.owgr.com/styles/img/flags/USA.png	Cameron Tringale	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14013	2.0016	104.09	52	-37.20	95.80	59
71	70	35	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Gonzalo Fdez-Castano	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8262	1.9773	102.82	52	-89.67	42.70	61
72	72	102	USA	http://www.owgr.com/styles/img/flags/USA.png	Charley Hoffman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5768	1.9534	95.72	49	-53.23	70.36	49
73	89	118	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Tommy Fleetwood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12294	1.8985	98.72	52	-41.96	69.53	56
74	73	92	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Freddie Jacobson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3846	1.8966	89.14	47	-45.12	70.30	47
75	74	51	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Richard Sterne	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7049	1.8707	86.05	46	-71.90	40.99	46
